City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
16,tabuk,17.4189,121.4443,295.32,91,{'all': 17},"{'speed': 1.87, 'deg': 212, 'gust': 1.99}",PH,2023-12-03 17:37:11 UTC
17,college,64.8569,-147.8028,253.96,75,{'all': 0},"{'speed': 1.54, 'deg': 330}",US,2023-12-03 17:37:11 UTC
18,bethel,41.3712,-73.414,281.68,88,{'all': 100},"{'speed': 3.09, 'deg': 70}",US,2023-12-03 17:37:12 UTC
19,hawaiian paradise park,19.5933,-154.9731,296.5,97,{'all': 100},"{'speed': 3.09, 'deg': 240}",US,2023-12-03 17:37:12 UTC
20,waitangi,-43.9535,-176.5597,287.49,97,{'all': 100},"{'speed': 0.45, 'deg': 323, 'gust': 1.79}",NZ,2023-12-03 17:37:12 UTC
21,berdigestyakh,62.0989,126.6992,225.06,100,{'all': 66},"{'speed': 0.51, 'deg': 113, 'gust': 0.53}",RU,2023-12-03 17:37:12 UTC
22,salekhard,66.53,66.6019,239.51,100,{'all': 17},"{'speed': 0.79, 'deg': 333, 'gust': 0.82}",RU,2023-12-03 17:37:13 UTC
23,puerto natales,-51.7236,-72.4875,284.4,58,{'all': 75},"{'speed': 15.43, 'deg': 290, 'gust': 20.58}",CL,2023-12-03 17:37:13 UTC
24,margaret river,-33.95,115.0667,291.37,86,{'all': 64},"{'speed': 5.62, 'deg': 281, 'gust': 7.51}",AU,2023-12-03 17:33:49 UTC
25,stanley,54.868,-1.6985,272.75,93,{'all': 93},"{'speed': 0.4, 'deg': 147, 'gust': 0.57}",GB,2023-12-03 17:37:13 UTC
26,behshahr,36.6923,53.5526,284.12,43,{'all': 0},"{'speed': 1.82, 'deg': 135, 'gust': 1.66}",IR,2023-12-03 17:37:13 UTC
27,st. john's,47.5649,-52.7093,275.36,80,{'all': 75},"{'speed': 5.14, 'deg': 360, 'gust': 9.77}",CA,2023-12-03 17:37:14 UTC
28,bredasdorp,-34.5322,20.0403,290.41,67,{'all': 1},"{'speed': 3.17, 'deg': 229, 'gust': 5.93}",ZA,2023-12-03 17:36:07 UTC
29,arkhangel'sk,64.5401,40.5433,257.21,84,{'all': 100},"{'speed': 1, 'deg': 0}",RU,2023-12-03 17:37:14 UTC
30,blackmans bay,-43.0167,147.3167,285.11,93,{'all': 61},"{'speed': 2.85, 'deg': 353, 'gust': 3.7}",AU,2023-12-03 17:37:14 UTC
31,arteche,12.2645,125.4048,299.2,89,{'all': 90},"{'speed': 5.02, 'deg': 70, 'gust': 7.62}",PH,2023-12-03 17:37:14 UTC
32,avarua,-21.2078,-159.775,297.18,83,{'all': 75},"{'speed': 5.66, 'deg': 90}",CK,2023-12-03 17:37:15 UTC
33,hermanus,-34.4187,19.2345,291.14,72,{'all': 12},"{'speed': 3.6, 'deg': 257, 'gust': 5.04}",ZA,2023-12-03 17:37:15 UTC
34,lugazi,0.3772,32.9197,291.97,86,{'all': 89},"{'speed': 1, 'deg': 127, 'gust': 1.09}",UG,2023-12-03 17:37:15 UTC
35,port mathurin,-19.6833,63.4167,299.03,86,{'all': 51},"{'speed': 6.5, 'deg': 32, 'gust': 7.65}",MU,2023-12-03 17:37:15 UTC
36,edinburgh of the seven seas,-37.0676,-12.3116,288.57,73,{'all': 3},"{'speed': 2.92, 'deg': 354, 'gust': 3.14}",SH,2023-12-03 17:37:16 UTC
37,kem',64.9555,34.5793,258.22,99,{'all': 96},"{'speed': 1.58, 'deg': 221, 'gust': 1.57}",RU,2023-12-03 17:37:16 UTC
